veve_uuid,series_uuid,supply,first_public,edition_type
012bf13a-a0bb-4737-8029-461c12e9e55d,02d4d48e-6d94-4c26-a26b-277ec0a279ba,1000,11,9
01320e5a-2912-4582-a5d5-1aad0b345a23,46f4714b-d514-4e97-bd2d-b9d40ed9de97,7500,176,8
0135a605-9c50-4ad4-bd2e-17a253fb028f,c62cd4bb-8137-47c2-aae9-e3d68aa88ca3,2000,41,
013912aa-3c91-4068-bc6a-e6f083f44d0c,faefc3ac-1f2d-49aa-ab71-9269d0ede5fc,5000,158,45
013a91a0-389f-4d8d-aa31-ac98ecca6060,f830cb63-0ba0-440a-b2d4-c08d066b1b46,1000,11,3
013c3f00-1259-459f-aa75-4ec73da3bcda,7d2bddb3-cb50-4195-b9b9-06cd88dc6501,3000,163,8
013e6d39-c3e5-4a39-b0bc-28c6ef799694,66e0f97f-1ed0-4c61-bf53-0f4272f39466,7777,41,FE
013e7b6a-e8f0-4437-b351-4e8ba26288cf,5da65a61-df41-40f4-b783-fd939dd20e69,1000,11,20
013fdc57-c6c1-471c-8ab0-be45b67e32c0,18a81188-2d8c-45cd-b358-123dce31ba88,1000,11,2
014098f7-b433-4aa8-b6f4-b9a517c7d9cc,5ec9ce0a-48f9-409a-bf66-bd5f63b78911,1000,11,26
014250b5-509a-487b-8b66-74fe2950ab31,bbefec49-60d5-4665-8eaf-b5623728069b,50,6,1
0144f7b8-db55-41f2-90de-a9ebd89001b6,53bac7a6-53d9-436f-9393-b51748ba9014,5000,158,14
015ca5f5-b92b-497f-b7c0-d952d47a7274,73afc536-6370-4d4e-9154-119bb2f7cb6c,3000,163,88
015db78b-e7db-40ad-b58b-e1ea309eaac5,c66f4ea7-32d1-4491-a420-4719d4bf8265,1000,11,5
015f74b7-4fce-430c-8cf7-4f1c81ee2cb8,a4efbc19-f9e5-42ef-a08f-add2bc7be445,1000,11,13
0162a16e-1cfc-4008-a461-68e55a1cee84,aa66341d-b921-4491-90a5-caedc8273232,170,6,FA
0166c9f7-03fe-478f-bfe6-474d144d7e6d,1516408f-a83f-470a-b8ec-8881bf0f0b33,1000,11,1
016796bc-bfc7-4800-9d72-b5ee423790ae,bdf3943b-651f-4fff-a01a-5e7c87210780,1000,11,18
016a05e6-954f-4731-9223-6594d78277f2,49753617-fe21-4b9b-98eb-4583eef16725,3000,164,1
016b749b-aca8-4119-81fb-f7c05de52c0d,80e90c5c-6d94-4cd1-8f63-0984b437bb44,7500,176,37
016dbcbe-ce08-4c27-a456-d595a43eb930,17673047-6754-4ff0-9864-a163073ba70e,1000,11,3
016edb7e-a1bb-4e5a-b3bc-b3d5514f8f01,5835df6e-4c59-4f6f-b89a-1e62b949b684,3666,41,FE
016ef99c-6574-454c-aa95-8196fe10b12f,19da3543-a8a2-41d9-8ca0-b4bbfaa87fe8,5000,158,98
0176cbf2-359e-4686-b52e-032f052ebe6c,af914c04-1466-43fc-b02b-d6aa3c0f3ff3,1000,11,4
01773a68-d0b4-4b25-b270-432da21e8058,9cf8c531-c32f-44ba-9186-13c4e2fb9f44,1000,11,9
01784570-0ec2-4a60-875e-6d99f7c011cf,ed655ead-abab-4082-b3af-3637530e798d,1000,11,9
017b9ece-eb17-40d9-b5fb-a42e0f60744d,dfcaa5bc-bc7d-4a7e-8f39-88d6ca9fb1af,1000,11,4
017cfff6-4890-40a2-b210-4892f72dfad9,2b5aa2ee-e054-464d-99d4-93e548ec4ca0,1000,11,1
017f7ad4-4ae6-415b-b246-003cc1c44a3a,a2cdcbbd-e33e-446e-b821-18c22b14832f,1000,11,6
01825410-8d4d-488d-b23f-8bac96dd878b,a78d7d3d-42f6-4fd3-912a-3d53bd7faeb6,1000,11,2
0183c5a4-0480-4d6b-a9db-7e1228124f50,1ee7d2c5-fcaa-4433-b89c-cdb7966abdff,3888,41,FA
0184c362-23b6-4c61-b234-327167a8fba2,6694d288-6b6a-4c0e-8990-5855a0558bd9,60000,101,#1
0186c2e0-b6f2-442d-81e0-99d59d67be07,e744c565-766a-424d-a2ca-48ac9e100c1a,1000,11,4
01891b25-4997-439f-9b22-4795cda954ac,241692a3-ab6e-433f-941a-b7a37b83167f,1000,11,4
018a30cb-1668-447c-b3d3-2eb5606290d7,505dd82b-4471-41a0-a06a-1c39ca0a77a0,0,0,1
018afc3c-631a-49fa-b87a-a12dbdf9f865,900991b9-247c-466c-ad7d-9838fdc2bb88,1000,11,4
018f1df1-3de8-41ad-9a3a-3ed571a5c9e5,68f26c8e-fefd-4e39-9068-32eee57fd59c,1,1,FE
018f8ac2-45dc-4a0e-9602-80aec4e45926,a8025c26-f1e2-461f-b399-9c94f6743443,3000,163,7
01904fb7-c5e5-4228-a8dd-1ac9975c280a,7218f91b-a335-4e8b-9508-9505d56c3309,1000,11,2
01a035ef-6f10-42a8-bbe4-444741abc595,386875dc-0164-4857-b176-e8c85838e67a,1000,11,21
01a0ce78-a888-4e9f-a30c-5ae608cd32d0,6cff7f32-99a5-446c-9058-fab73cb586ee,1000,11,4
01a4a280-5430-43fc-9a29-0d627237d628,343575a5-ba36-4c9a-a97d-fcace41a2c28,3800,41,FE
01a8d58c-d557-47c8-b9fa-ac6f809f24c4,6f0de5d2-ede3-40d3-a034-fec862c3c159,1000,11,19
01ad9698-214e-45a6-85b3-9c54a215f2b7,239c8cd8-3282-414b-a399-c58cdf1265ae,1000,11,47
01b462ef-ca0c-4de3-ab7c-5a45f4a79177,818cb3c5-7fb9-4e6b-b5b8-9606b4ad9601,1000,11,2
01b5bff6-c254-436f-a10e-419295d291cf,12beecc7-cd9b-4270-8a0d-2903adcc0dfd,1000,11,8
01b849ac-d346-4de5-b5f0-3953cb4f4623,854e8d22-c357-4421-ad3b-5186ccffc779,1000,11,47
01ca7948-b275-4d2f-9aac-5a4090d4a1e9,2f1994cc-05e5-4abc-b42d-e2cbe725a650,1000,11,1
01ceef38-8620-4532-8a23-02a6edc967f1,fb27aef7-02e8-48b9-a711-958ca4370556,3500,181,218
01d0a2d6-acf0-457d-9382-2705811f68d8,6e1a59b6-f242-4084-a44e-6c8e7374d66f,7500,51,FA
01d0ce79-b6f7-45bf-b147-50a2e35091d8,f0123e10-510f-4135-a92e-b7e728856645,0,0,2
01d35965-32c2-42db-b4f7-e1f64f136605,719c04d3-0cd7-41b5-9723-bf668248c76a,1000,11,1
01d771e3-bf43-435c-a97c-7bf7f3ce259d,3bd635c8-782a-40de-86c2-6d0fc009129e,1111,41,FE
01dc15e8-1869-41ff-8ea9-cb6449242bff,b407bc78-8b60-4a88-8b13-2714d972c6cc,1000,11,1
01dc6746-0022-4ab6-abd5-79e90be2ab10,b582ea93-c526-4f48-88a7-5c1155aa440a,1000,11,1
01dd2755-8a93-42c5-b5b0-fb6bb569b4a1,42b165f6-e47e-4624-a3d2-3d90815a7f4f,1000,11,20
01de3d11-441a-4827-a533-1fee4337cad5,9d90b242-b3e3-49a8-906f-3996efc12570,10000,186,48
01e18846-c61c-42b4-a8f7-41ac50ffd7fd,af97b210-4461-4407-a077-e675aa454190,750,21,FA
01e4c06f-928b-4f76-b723-cbf72ab6b437,25dc994f-15f5-47f7-a462-37f315f4818f,1000,11,4
01e6865a-d0f0-4c5e-9970-26e0649f4b8e,b48b8c5c-bba6-47db-a06d-e031fb82e959,7500,176,34
01eb6302-1a53-4272-8d56-f69151ed38e6,818cb3c5-7fb9-4e6b-b5b8-9606b4ad9601,1000,11,2
01ee5851-240f-415b-b314-96b3bb68d5ac,18f0f82f-e49b-4962-884a-874edaf87096,4800,41,FA
01ee9d6e-a8a5-4ad4-8f3a-f7b7b6db2dad,bf58af2c-41af-447c-bc04-cc24ac068293,1000,11,3
01f0e48f-324b-4592-9456-5f620b6283cd,e909628c-102a-4ad3-b4e7-d20884132088,10000,186,4
01f13953-670f-4087-879f-11d0caea5888,795633fc-6c89-47c8-a2b6-0cc8ac441339,7500,176,28
01f1ebae-0541-4c12-bc02-4c24782b868c,afb7a9de-1c28-4b2f-aee3-485170d0ea21,1000,11,3
01f415c0-9205-4daf-bf3e-729f06396e00,1aee955b-304b-4e06-ba59-714cea2edd91,1000,11,1
01fc6569-387c-45d2-9974-b5d1255e37b2,352dcc31-e7a0-4f2b-b038-f7c2d782a29e,1000,11,1
01fc9055-9968-4f33-a1c0-b47959317ce1,1e170ddc-4508-4286-843f-85ab7751310e,1000,11,7
01fda8db-26bf-47e2-8914-10f0b94fd154,ebd4237c-e2aa-4094-aec8-b2d6f419e301,1000,11,12
020331ea-b8e1-4552-b804-50eca175b88c,b3bbda60-4f98-4191-9f6f-4b84020b58a9,666,41,CE
020a32be-6953-43f7-b899-98533ba77c94,e806e1ec-6e8f-4055-bf46-701149c48076,1000,11,7
020c4f3b-4c7c-46b4-8135-c456d55be2d8,812659ee-bf77-47e6-bc02-4fe7f0d784de,1000,11,675
020f5787-85c8-4b98-94b4-bfa2692ebcc9,0d805c8a-dacc-4584-80f6-ef2d1b067b80,1000,11,3
020fb462-54c6-421d-b37a-7ee98c8dbaaa,0a077ee2-c5a3-43b7-ba39-ddc288e0141a,1000,11,1
02130e47-4fb3-418f-bf43-fb194cc05b99,530aa167-3b76-41da-8471-9bbcd92c7f96,1000,11,10
